<PorterStemmer>
33.50181579589844
         51751046 function calls (51737076 primitive calls) in 33.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1376/1    0.016    0.000   33.985   33.985 {built-in method builtins.exec}
        1    0.064    0.064   33.985   33.985 indexer.py:1(<module>)
        1    4.325    4.325   33.438   33.438 indexer.py:17(process_file)
        2    0.001    0.001   13.568    6.784 indexer.py:49(dump_into_file)
   289448    0.365    0.000   11.940    0.000 __init__.py:1910(virtual_memory)
   289448    7.057    0.000   11.575    0.000 _pslinux.py:414(virtual_memory)
       10   10.542    1.054   10.928    1.093 {built-in method builtins.sorted}
        2    0.000    0.000   10.928    5.464 indexer.py:56(sort_terms)
        2    1.901    0.951    2.184    1.092 indexer.py:60(restructure_as_map)
   289462    0.135    0.000    1.738    0.000 re.py:223(split)
 14761866    1.684    0.000    1.684    0.000 {method 'split' of 'bytes' objects}
   289451    0.103    0.000    1.527    0.000 _common.py:710(open_binary)
   289456    1.424    0.000    1.424    0.000 {built-in method io.open}
   289472    1.389    0.000    1.389    0.000 {method 'split' of 're.Pattern' objects}
       73    0.003    0.000    0.690    0.009 __init__.py:1(<module>)
     8931    0.018    0.000    0.666    0.000 gzip.py:302(read1)
     8931    0.021    0.000    0.643    0.000 {method 'read1' of '_io.BufferedReader' objects}
     8931    0.049    0.000    0.622    0.000 _compression.py:66(readinto)
     8931    0.047    0.000    0.553    0.000 gzip.py:462(read)
   289448    0.204    0.000    0.533    0.000 _common.py:373(usage_percent)
12713466/12711768    0.508    0.000    0.508    0.000 {built-in method builtins.len}
        3    0.001    0.000    0.501    0.167 __init__.py:9(<module>)
   290283    0.490    0.000    0.490    0.000 {method '__exit__' of '_io._IOBase' objects}
   1027/6    0.004    0.000    0.481    0.080 <frozen importlib._bootstrap>:1002(_find_and_load)
   1027/6    0.003    0.000    0.481    0.080 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    981/6    0.003    0.000    0.481    0.080 <frozen importlib._bootstrap>:659(_load_unlocked)
    831/5    0.002    0.000    0.481    0.096 <frozen importlib._bootstrap_external>:849(exec_module)
   1329/7    0.001    0.000    0.480    0.069 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    494/4    0.001    0.000    0.473    0.118 {built-in method builtins.__import__}
        7    0.000    0.000    0.451    0.064 __init__.py:10(<module>)
        2    0.446    0.223    0.446    0.223 {built-in method _pickle.dumps}
  5733721    0.397    0.000    0.397    0.000 {method 'lower' of 'str' objects}
  4530915    0.385    0.000    0.385    0.000 indexer.py:57(<lambda>)
