query	ranking	boost/normal	boost window	precision	recall	fmeasure	AP	NDCG	latency (s)	throughput (q/s)
10	bm25	normal	not applicable	0.8933333333333333	0.12285547535067468	0.2154804553646901	0.8381534391534392	0.9547315644571192	0.8724333531333589	1.1462193603769082
20	bm25	normal	not applicable	0.8233333333333331	0.22542707117717725	0.352595461538459	0.851923283458887	0.9458047958812859	0.8724333531333589	1.1462193603769082
50	bm25	normal	not applicable	0.6493333333333333	0.44200721349748495	0.5234221097138074	0.7805728488789079	0.9170026803723955	0.8724333531333589	1.1462193603769082
10	bm25	boost	1	0.9	0.12376871735980707	0.21708688106750132	0.8526031746031748	0.9700989027760554	1.3041242732000682	0.7667980886102164
20	bm25	boost	1	0.8399999999999999	0.22951174933867943	0.3591834731085893	0.8631759322691985	0.9584389736134481	1.3041242732000682	0.7667980886102164
50	bm25	boost	1	0.6639999999999999	0.4514972146392039	0.5349229998364129	0.8004958858212625	0.929923771746508	1.3041242732000682	0.7667980886102164
10	bm25	boost	2	0.92	0.1266880975529353	0.2221776667454243	0.8655370370370373	0.9795387223915781	1.499563502533177	0.6668607220105875
20	bm25	boost	2	0.8433333333333334	0.2311456411578477	0.3614633487484957	0.8782306215169992	0.9713901910388222	1.499563502533177	0.6668607220105875
50	bm25	boost	2	0.6626666666666666	0.4506411457642227	0.533896918611086	0.8018652781500105	0.9347618821881061	1.499563502533177	0.6668607220105875
10	bm25	boost	3	0.9266666666666666	0.12760133956206773	0.22378409244823552	0.8609259259259261	0.9752701495982468	1.3905165029333149	0.7191572325035233
20	bm25	boost	3	0.8533333333333333	0.2341759874586164	0.3661002818631458	0.8770521533992893	0.9672758739014665	1.3905165029333149	0.7191572325035233
50	bm25	boost	3	0.6573333333333334	0.4471320345925103	0.5296704432937518	0.8039319437743428	0.9362339100339375	1.3905165029333149	0.7191572325035233
10	bm25	boost	4	0.9133333333333334	0.1253784998843795	0.2199737910261766	0.8684338624338627	0.9814500480605389	1.3079304916668966	0.7645666236632702
20	bm25	boost	4	0.8499999999999999	0.23321951542492927	0.3646143197424083	0.8805278829357774	0.9682758671641157	1.3079304916668966	0.7645666236632702
50	bm25	boost	4	0.656	0.4472681726214701	0.5293252751918095	0.802053875226667	0.9362914169329116	1.3079304916668966	0.7645666236632702
10	bm25	boost	5	0.9133333333333334	0.125582507170354	0.22028309784749667	0.8734867724867728	0.9822822204790254	1.408888297999753	0.7097794774928107
20	bm25	boost	5	0.8666666666666666	0.2377572991785453	0.37173450607406433	0.8863756306902589	0.9696400183209593	1.408888297999753	0.7097794774928107
50	bm25	boost	5	0.6586666666666667	0.4487553497820578	0.5312606354649864	0.8069566314790134	0.9394616821653361	1.408888297999753	0.7097794774928107
10	bm25	boost	6	0.92	0.1264957491794864	0.22188952355030792	0.8705634920634923	0.9814254701629576	1.4258257143997375	0.7013479907823047
20	bm25	boost	6	0.8599999999999998	0.2359215220298632	0.36887577113523506	0.8841257964601617	0.9679855958058344	1.4258257143997375	0.7013479907823047
50	bm25	boost	6	0.6586666666666666	0.4497812167353454	0.5319706382115378	0.8052541924649259	0.9372086185698024	1.4258257143997375	0.7013479907823047
10	bm25	boost	7	0.92	0.1264957491794864	0.22188952355030792	0.8705634920634923	0.9768099411067853	1.410124105333307	0.7091574395599973
20	bm25	boost	7	0.8499999999999999	0.23285480049563484	0.3641951155403741	0.8859437420594539	0.9681673338125568	1.410124105333307	0.7091574395599973
50	bm25	boost	7	0.6560000000000001	0.44716808051318124	0.529280827395872	0.8012631677352515	0.9358392945674673	1.410124105333307	0.7091574395599973
10	bm25	boost	8	0.92	0.12671245067317885	0.22221546499725514	0.8598492063492065	0.97235893429343	1.332108432733609	0.7506896401428134
20	bm25	boost	8	0.8533333333333333	0.23429152917494964	0.3662640550201188	0.8810262768277474	0.9610930942116581	1.332108432733609	0.7506896401428134
50	bm25	boost	8	0.6546666666666667	0.44659247364429716	0.528419903860255	0.796337971737212	0.9324356813655756	1.332108432733609	0.7506896401428134
10	bm25	boost	9	0.92	0.12671245067317885	0.22221546499725514	0.8378412698412699	0.9516426130273472	1.423728719866752	0.7023809986031544
20	bm25	boost	9	0.84	0.23016278519231673	0.35997692069459614	0.866124615866876	0.9460610277665453	1.423728719866752	0.7023809986031544
50	bm25	boost	9	0.6519999999999999	0.44475252841464413	0.5262395175002417	0.7875021195355261	0.9197109818325083	1.423728719866752	0.7023809986031544
10	bm25	boost	10	0.9266666666666666	0.12760133956206773	0.22378409244823552	0.8293809523809524	0.947722233661453	1.4087686626666254	0.70983975332552
20	bm25	boost	10	0.8333333333333333	0.228436535053103	0.3572360393958401	0.8589927761723426	0.9426723831655217	1.4087686626666254	0.70983975332552
50	bm25	boost	10	0.6373333333333332	0.43526789919214587	0.514762018346709	0.7797194293916733	0.9170471356868738	1.4087686626666254	0.70983975332552
10	bm25	boost	11	0.9133333333333334	0.12559520137807192	0.22029973247312382	0.8337328042328044	0.9474845931220881	1.4182305115328442	0.7051039953435958
20	bm25	boost	11	0.8333333333333333	0.22845636252657223	0.3572548482451518	0.8573602581628896	0.9385984687210619	1.4182305115328442	0.7051039953435958
50	bm25	boost	11	0.6293333333333332	0.42902229894361005	0.5077669417032291	0.7774953903344658	0.911898647133993	1.4182305115328442	0.7051039953435958
10	bm25	boost	12	0.9066666666666666	0.12446525787524707	0.21836736532336537	0.832873015873016	0.9457858229051691	1.3174626213998029	0.7590348171984574
20	bm25	boost	12	0.8333333333333333	0.22773906383191855	0.3563998631741751	0.8546126218839066	0.9360741681724448	1.3174626213998029	0.7590348171984574
50	bm25	boost	12	0.6266666666666667	0.42737181100683785	0.5057146221658332	0.7747098507000525	0.909939764701815	1.3174626213998029	0.7590348171984574
10	bm25	boost	13	0.9066666666666666	0.12446525787524707	0.21836736532336537	0.8350952380952381	0.9457179271912118	1.420023925000108	0.7042134871072147
20	bm25	boost	13	0.8200000000000001	0.22400667550870904	0.3505791995841672	0.8522135864221776	0.935141548951569	1.420023925000108	0.7042134871072147
50	bm25	boost	13	0.6186666666666667	0.42096492041501793	0.498615012937245	0.7705642644528439	0.9086689447638551	1.420023925000108	0.7042134871072147
10	bm25	boost	14	0.8933333333333333	0.12280295219570266	0.21541413827375278	0.8300687830687832	0.9437247640900807	1.4502281506000145	0.6895466755256833
20	bm25	boost	14	0.8133333333333332	0.22259338414748794	0.34822155542585875	0.8449491992642147	0.9331660410300676	1.4502281506000145	0.6895466755256833
50	bm25	boost	14	0.6173333333333333	0.42025635694783386	0.4976800911037578	0.7657064201662077	0.9064564219506153	1.4502281506000145	0.6895466755256833
10	bm25	boost	15	0.8933333333333333	0.12280295219570266	0.21541413827375278	0.8239867724867725	0.9360624992820299	1.5133784364001863	0.6607732579953105
20	bm25	boost	15	0.81	0.22168014213835555	0.34678786366958636	0.8383919304236642	0.9266173827954886	1.5133784364001863	0.6607732579953105
50	bm25	boost	15	0.6173333333333334	0.42110658520304145	0.49823684120673595	0.763202614898901	0.9006584567504877	1.5133784364001863	0.6607732579953105
10	bm25	boost	16	0.8933333333333333	0.12280295219570266	0.21541413827375278	0.8239867724867725	0.9360624992820299	1.4072897919996952	0.7105856986136773
20	bm25	boost	16	0.8099999999999999	0.2221017019095088	0.3472824759289045	0.8354535899686828	0.9260079840870119	1.4072897919996952	0.7105856986136773
50	bm25	boost	16	0.6173333333333334	0.4211533098082185	0.4982737062071046	0.7619532586920185	0.9002843073844409	1.4072897919996952	0.7105856986136773
10	bm25	boost	17	0.8933333333333333	0.12280295219570266	0.21541413827375278	0.8239867724867725	0.93346909385269	1.5268751651999386	0.6549323892297729
20	bm25	boost	17	0.8066666666666666	0.2210088057346454	0.3456363853939251	0.835539394758435	0.9250607429665051	1.5268751651999386	0.6549323892297729
50	bm25	boost	17	0.6173333333333333	0.42097365564248757	0.4981565158460118	0.7582487638146803	0.8978767766647645	1.5268751651999386	0.6549323892297729
10	bm25	boost	18	0.8866666666666667	0.12188971018657023	0.2138077125709415	0.8088703703703704	0.9144302824301557	1.3172925770669583	0.7591327981416005
20	bm25	boost	18	0.8	0.21900266755064962	0.3425566031026733	0.826660215601392	0.9102855409316294	1.3172925770669583	0.7591327981416005
50	bm25	boost	18	0.6133333333333333	0.4176657994095268	0.4945433198599344	0.7517547005228974	0.8892642218885985	1.3172925770669583	0.7591327981416005
10	bm25	boost	19	0.88	0.12097646817743783	0.21220128686813028	0.8056296296296297	0.9137361951612153	1.3272657750667956	0.7534286039656785
20	bm25	boost	19	0.8	0.21900266755064962	0.3425566031026733	0.8239509929068752	0.9082728570798325	1.3272657750667956	0.7534286039656785
